entry_date,entry_price,exit_date,exit_price,qty,pnl,pct_return,holding_days,exit_reason,cash_before,cash_after
1/30/2014,1.36692312,2/2/2014,1.34844544,3491.797574,-64.5203182,-1.351771708,3,trailing_atr,9546.037669,9481.517351
2/16/2014,1.371655485,3/26/2014,1.381638835,3456.23134,34.50476715,0.727832179,38,ma_cross,9481.517351,9516.022118
4/13/2014,1.38675303,4/29/2014,1.387216045,3431.044286,1.58862497,0.033388425,16,ma_cross,9516.022118,9517.610743
5/2/2014,1.388824065,5/9/2014,1.383677815,3426.499793,-17.63362456,-0.370547295,7,trailing_atr,9517.610743,9499.977119
6/26/2014,1.364812065,7/13/2014,1.36007962,3480.324274,-16.47044321,-0.346747008,17,ma_cross,9499.977119,9483.506675
10/16/2014,1.285132245,10/29/2014,1.276411475,3689.700695,-32.17703113,-0.678589307,13,ma_cross,9483.506675,9451.329644
11/21/2014,1.25744841,11/23/2014,1.236911235,3758.138135,-77.18154055,-1.633241955,2,trailing_atr,9451.329644,9374.148104
12/18/2014,1.23585762,12/22/2014,1.226636375,3792.567992,-34.97219863,-0.746141372,4,ma_cross,9374.148104,9339.175905
2/12/2015,1.14285114,2/17/2015,1.144317555,4085.91092,5.991641061,0.128311986,5,ma_cross,9339.175905,9345.167546
2/20/2015,1.143541485,2/25/2015,1.13829057,4086.064069,-21.45557511,-0.459180106,5,ma_cross,9345.167546,9323.711971
3/26/2015,1.10577261,4/8/2015,1.088185635,4215.926442,-74.14539294,-1.5904694,13,ma_cross,9323.711971,9249.566578
4/27/2015,1.09320633,5/20/2015,1.11466239,4230.476134,90.76934977,1.962672499,23,trailing_atr,9249.566578,9340.335928
6/9/2015,1.13510727,6/28/2015,1.101059195,4114.296584,-140.0838787,-2.999546906,19,trailing_atr,9340.335928,9200.252049
8/2/2015,1.09884915,8/10/2015,1.10358793,4186.312584,19.83801435,0.431249367,8,ma_cross,9200.252049,9220.090063
8/14/2015,1.119429435,8/27/2015,1.13587178,4118.209587,67.71302282,1.468814781,13,trailing_atr,9220.090063,9287.803086
9/17/2015,1.144702065,9/20/2015,1.129185125,4056.864825,-62.95012809,-1.355543986,3,trailing_atr,9287.803086,9224.852958
10/11/2015,1.13748846,10/23/2015,1.11342301,4054.921559,-97.58351202,-2.11566542,12,trailing_atr,9224.852958,9127.269446
12/6/2015,1.089254355,12/25/2015,1.09679133,4189.686919,31.57756557,0.691938937,19,ma_cross,9127.269446,9158.847012
1/18/2016,1.092916185,1/24/2016,1.079230115,4190.09579,-57.34594429,-1.252252477,6,trailing_atr,9158.847012,9101.501067
2/4/2016,1.124451945,2/22/2016,1.11182381,4047.083163,-51.10711253,-1.123047993,18,trailing_atr,9101.501067,9050.393955
3/13/2016,1.118188815,4/14/2016,1.12891526,4046.898803,43.40883744,0.959269567,32,trailing_atr,9050.393955,9093.802792
5/2/2016,1.1541768,5/8/2016,1.13950996,3939.518968,-57.78029438,-1.270761984,6,trailing_atr,9093.802792,9036.022498
6/7/2016,1.13860902,6/12/2016,1.12473735,3968.00936,-55.0429164,-1.218299676,5,trailing_atr,9036.022498,8980.979582
6/23/2016,1.14335139,6/24/2016,1.13315314,3927.480064,-40.05342357,-0.891961132,1,ma_cross,8980.979582,8940.926158
