MA_SHORT_DEFAULT,take_profit_pct,total_return_pct,CAGR_pct,sharpe,sortino,max_drawdown_pct,profit_factor,num_trades
5,,-94.81594148750084,-16.858511945672493,-1.165122694480969,-1.1710794409840648,-94.82061517335238,0.4320296569157724,5594
5,0.03,-94.78924183263673,-16.831863586558637,-1.1662477650077145,-1.1724477002755087,-94.79393958955129,0.43309768808188387,5594
5,0.05,-94.81594148750084,-16.858511945672493,-1.165122694480969,-1.1710794409840648,-94.82061517335238,0.4320296569157724,5594
10,,-77.97542926771914,-9.006813844618378,-0.6305063214015693,-0.5780420333871578,-78.06116626011139,0.48601747834771836,2789
10,0.03,-78.06119604704327,-9.028958961216137,-0.6347425692548191,-0.5812371887000309,-78.14659916751603,0.48409466355377023,2789
10,0.05,-77.87725976101636,-8.981565348903843,-0.6295086363350749,-0.5776686979208864,-77.96337890652077,0.4876398153930684,2789
15,,-60.70845297957462,-5.660985889565328,-0.41042617832600237,-0.3491746744030877,-60.83707375862375,0.5424981685868782,1799
15,0.03,-60.51939451834605,-5.632732281311636,-0.41122192250670797,-0.34933238321401966,-60.64863417978624,0.5470240205313026,1799
15,0.05,-60.40622964890314,-5.615881128170863,-0.4078201304119115,-0.3474203729658105,-60.53583975525512,0.5464475682531943,1799
20,,-51.05022097049876,-4.3586162831575015,-0.3392593109835903,-0.2623532999737644,-51.21313959408587,0.557153195340015,1337
20,0.03,-51.12950102299683,-4.3682868592321284,-0.3418265484591274,-0.26388497978136344,-51.29215578028489,0.5567599964603028,1337
20,0.05,-51.05022097049876,-4.3586162831575015,-0.3392593109835903,-0.2623532999737644,-51.21313959408587,0.557153195340015,1337
