entry_date,entry_price,exit_date,exit_price,qty,pnl,pct_return,holding_days,exit_reason,cash_before,cash_after
10/1/2009 8:00,1.460359815,10/2/2009 0:00,1.453922675,3423.81374,-22.03956838,-0.440791368,0,ma_cross,10000,9977.960432
10/5/2009 12:00,1.46571249,10/12/2009 4:00,1.471533865,3403.791842,19.81474873,0.397170321,6,ma_cross,9977.960432,9997.77518
10/13/2009 8:00,1.48830378,10/19/2009 0:00,1.48881522,3358.78176,1.717815344,0.034363952,5,ma_cross,9997.77518,9999.492996
10/20/2009 4:00,1.49948937,10/26/2009 16:00,1.493522865,3334.299394,-19.89411401,-0.397902454,6,trailing_atr,9999.492996,9979.598882
10/30/2009 16:00,1.478348805,11/2/2009 16:00,1.48263831,3375.251784,14.4781594,0.290155137,3,ma_cross,9979.598882,9994.077041
11/5/2009 0:00,1.488173715,11/12/2009 12:00,1.494322465,3357.832806,20.64647446,0.413174211,7,ma_cross,9994.077041,10014.72352
11/16/2009 16:00,1.50223074,11/17/2009 12:00,1.489384935,3333.284045,-42.81871685,-0.855115307,0,trailing_atr,10014.72352,9971.904799
11/19/2009 20:00,1.49350638,11/20/2009 8:00,1.49093416,3338.420556,-8.587152122,-0.172226917,0,ma_cross,9971.904799,9963.317647
11/23/2009 20:00,1.498819035,11/26/2009 16:00,1.500959145,3323.722682,7.11313215,0.142786417,2,trailing_atr,9963.317647,9970.430779
12/1/2009 0:00,1.504361805,12/4/2009 16:00,1.48963481,3313.840708,-48.80291554,-0.978952999,3,trailing_atr,9970.430779,9921.627863
12/24/2009 8:00,1.442410845,12/29/2009 0:00,1.436771255,3439.251687,-19.39596942,-0.39098361,4,ma_cross,9921.627863,9902.231894
12/29/2009 8:00,1.445492385,12/30/2009 0:00,1.434232525,3425.210674,-38.56739266,-0.778963633,0,trailing_atr,9902.231894,9863.664501
1/4/2010 20:00,1.443191235,1/6/2010 4:00,1.435451915,3417.310285,-26.44765783,-0.536264343,1,trailing_atr,9863.664501,9837.216843
1/11/2010 4:00,1.45322625,1/14/2010 4:00,1.45473227,3384.612975,5.097294833,0.103632865,3,ma_cross,9837.216843,9842.314138
1/14/2010 12:00,1.452756015,1/15/2010 4:00,1.44371778,3387.462876,-30.61668553,-0.622144043,0,ma_cross,9842.314138,9811.697453
1/25/2010 4:00,1.417718505,1/26/2010 16:00,1.409864715,3460.382797,-27.17711981,-0.553973865,1,ma_cross,9811.697453,9784.520333
2/2/2010 20:00,1.39825878,2/3/2010 16:00,1.391893705,3498.823134,-22.27027166,-0.455214377,0,trailing_atr,9784.520333,9762.250061
2/9/2010 16:00,1.384541925,2/11/2010 16:00,1.36877527,3525.444006,-55.58445936,-1.138763277,2,trailing_atr,9762.250061,9706.665602
2/16/2010 20:00,1.37846889,2/17/2010 16:00,1.364867225,3520.81417,-47.88893487,-0.986722667,0,trailing_atr,9706.665602,9658.776667
2/22/2010 16:00,1.36176054,2/23/2010 16:00,1.357191065,3546.429928,-16.20532289,-0.335556426,1,trailing_atr,9658.776667,9642.571344
2/26/2010 16:00,1.368934125,3/1/2010 12:00,1.35458237,3521.926719,-50.54582941,-1.048389016,2,trailing_atr,9642.571344,9592.025515
3/3/2010 16:00,1.37424678,3/4/2010 20:00,1.358470425,3489.921044,-55.05823331,-1.148000143,1,trailing_atr,9592.025515,9536.967281
3/8/2010 20:00,1.364832075,3/10/2010 0:00,1.36003964,3493.824426,-16.74392646,-0.351137337,1,ma_cross,9536.967281,9520.223355
3/11/2010 12:00,1.369254285,3/15/2010 16:00,1.36695618,3476.426351,-7.989192779,-0.167836247,4,trailing_atr,9520.223355,9512.234162
3/17/2010 12:00,1.37824878,3/18/2010 16:00,1.36259836,3450.84077,-54.0071074,-1.135529393,1,trailing_atr,9512.234162,9458.227055
3/29/2010 0:00,1.345202265,3/31/2010 20:00,1.351973675,3515.54086,23.80516853,0.503374859,2,ma_cross,9458.227055,9482.032223
4/1/2010 8:00,1.35181557,4/5/2010 8:00,1.34860536,3507.147141,-11.25867882,-0.237473963,4,ma_cross,9482.032223,9470.773544
4/9/2010 16:00,1.350244785,4/16/2010 0:00,1.355691815,3507.057998,19.10305013,0.403410556,6,trailing_atr,9470.773544,9489.876594
4/26/2010 16:00,1.337578455,4/27/2010 16:00,1.32565684,3547.409335,-42.29084834,-0.89128342,1,trailing_atr,9489.876594,9447.585746
4/30/2010 12:00,1.33484709,5/3/2010 8:00,1.324127605,3538.826963,-37.93440254,-0.803049659,2,trailing_atr,9447.585746,9409.651344
5/10/2010 8:00,1.30983459,5/10/2010 16:00,1.28719608,3591.923521,-81.31579654,-1.728348768,0,trailing_atr,9409.651344,9328.335547
5/20/2010 16:00,1.260319845,5/24/2010 12:00,1.24043947,3700.78103,-73.57291466,-1.577407122,3,trailing_atr,9328.335547,9254.762632
5/28/2010 8:00,1.24580259,5/28/2010 20:00,1.22744597,3714.377666,-68.18341935,-1.473477431,0,trailing_atr,9254.762632,9186.579213
6/9/2010 12:00,1.20788364,6/21/2010 20:00,1.232093645,3802.758357,92.06479884,2.004332553,12,trailing_atr,9186.579213,9278.644012
6/24/2010 16:00,1.23933936,6/29/2010 4:00,1.226556415,3743.383092,-47.85146018,-1.031432182,4,trailing_atr,9278.644012,9230.792552
7/1/2010 12:00,1.249094235,7/12/2010 4:00,1.260239565,3694.994458,41.18193258,0.892272952,10,trailing_atr,9230.792552,9271.974484
7/14/2010 4:00,1.273186275,7/21/2010 0:00,1.28991472,3641.248208,60.91242038,1.313903969,6,trailing_atr,9271.974484,9332.886905
7/23/2010 12:00,1.29228582,8/5/2010 16:00,1.318290525,3610.999502,93.9029768,2.012302898,13,ma_cross,9332.886905,9426.789881
8/6/2010 16:00,1.329994665,8/10/2010 12:00,1.314312515,3543.920186,-55.57628795,-1.179113752,3,trailing_atr,9426.789881,9371.213594
8/17/2010 12:00,1.290975165,8/19/2010 12:00,1.289584885,3629.509633,-5.046034652,-0.107692234,2,ma_cross,9371.213594,9366.167559
8/26/2010 0:00,1.27237587,8/31/2010 0:00,1.26552692,3680.582043,-25.20812239,-0.538280406,5,trailing_atr,9366.167559,9340.959436
9/1/2010 16:00,1.282030695,9/7/2010 0:00,1.281169095,3643.03268,-3.138836957,-0.067205879,5,trailing_atr,9340.959436,9337.8206
9/12/2010 20:00,1.27653795,9/13/2010 0:00,1.279150105,3657.478651,9.553901146,0.204628072,0,ma_cross,9337.8206,9347.374501
9/13/2010 4:00,1.28394165,9/20/2010 20:00,1.30638648,3640.108762,81.70162235,1.748119161,7,ma_cross,9347.374501,9429.076123
9/21/2010 12:00,1.31527731,10/4/2010 20:00,1.36827552,3584.444152,189.9691239,4.029432394,13,trailing_atr,9429.076123,9619.045247
10/13/2010 20:00,1.399449375,10/15/2010 16:00,1.40099915,3436.724979,5.326150454,0.110741769,1,trailing_atr,9619.045247,9624.371397
10/21/2010 12:00,1.404451875,10/26/2010 12:00,1.39236347,3426.379917,-41.41946812,-0.860720486,5,trailing_atr,9624.371397,9582.951929
10/29/2010 8:00,1.38735333,11/5/2010 12:00,1.41167381,3453.681093,83.99518194,1.753012695,7,trailing_atr,9582.951929,9666.947111
11/18/2010 20:00,1.36638285,11/22/2010 16:00,1.3619187,3537.422587,-15.79158504,-0.326712971,3,trailing_atr,9666.947111,9651.155526
12/2/2010 12:00,1.32063999,12/7/2010 20:00,1.3283355,3653.969136,28.11915602,0.58271066,5,trailing_atr,9651.155526,9679.274682
