MA_SHORT_DEFAULT,take_profit_pct,total_return_pct,CAGR_pct,sharpe,sortino,max_drawdown_pct,profit_factor,num_trades
5,,-94.81594148750084,-16.858511945672493,-1.1651226944809572,-1.171079440984053,-94.82061517335238,0.43202965691577233,5594
5,0.03,-94.78924183263673,-16.831863586558637,-1.1662477650077103,-1.1724477002755007,-94.7939395895513,0.4330976880818838,5594
5,0.05,-94.81594148750084,-16.858511945672493,-1.1651226944809572,-1.171079440984053,-94.82061517335238,0.43202965691577233,5594
10,,-77.97542926771915,-9.006813844618378,-0.6305063214015744,-0.5780420333871639,-78.0611662601114,0.48601747834771847,2789
10,0.03,-78.06119604704318,-9.028958961216116,-0.6347425692548225,-0.5812371887000363,-78.14659916751594,0.48409466355377034,2789
10,0.05,-77.87725976101628,-8.98156534890382,-0.6295086363350685,-0.5776686979208808,-77.96337890652067,0.48763981539306844,2789
15,,-60.70845297957441,-5.660985889565295,-0.4104261783259951,-0.34917467440308203,-60.83707375862354,0.542498168586878,1799
15,0.03,-60.51939451834591,-5.632732281311615,-0.4112219225066971,-0.3493323832140103,-60.64863417978612,0.5470240205313026,1799
15,0.05,-60.40622964890302,-5.615881128170852,-0.4078201304119147,-0.34742037296581374,-60.53583975525497,0.5464475682531942,1799
20,,-51.05022097049885,-4.358616283157513,-0.3392593109835802,-0.262353299973756,-51.21313959408595,0.5571531953400152,1337
20,0.03,-51.129501022997026,-4.3682868592321515,-0.34182654845912225,-0.2638849797813591,-51.29215578028511,0.5567599964603027,1337
20,0.05,-51.05022097049885,-4.358616283157513,-0.3392593109835802,-0.262353299973756,-51.21313959408595,0.5571531953400152,1337
